Elapsed time (s),Distance (cm),Speed (cm/s),Duty (PWM)
0.000362396240234375,238.0,66.14,4095
0.026175975799560547,238.0,66.14,4095
0.0506596565246582,238.0,66.14,4095
0.07726669311523438,75.5,66.14,4095
0.10147261619567871,75.5,66.14,4095
0.11229109764099121,75.5,66.14,4095
0.12353682518005371,75.5,66.14,4095
0.13494610786437988,75.5,66.14,4095
0.14604687690734863,73.6,66.14,4095
0.157073974609375,73.6,66.14,4095
0.17188382148742676,73.6,66.14,4095
0.1836841106414795,73.6,66.14,4095
0.19485855102539062,73.6,66.14,4095
0.20629167556762695,73.6,66.14,4095
0.21733832359313965,132.5,66.14,4095
0.2284379005432129,132.5,66.14,4095
0.2449181079864502,132.5,66.14,4095
0.2594330310821533,132.5,66.14,4095
0.2704031467437744,132.5,66.14,4095
0.28121209144592285,95.7,66.14,4095
0.29235053062438965,95.7,66.14,4095
0.3032257556915283,95.7,66.14,4095
0.31398582458496094,95.7,66.14,4095
0.3252139091491699,95.7,66.14,4095
0.33605217933654785,95.7,66.14,4095
0.34696531295776367,63.5,66.14,4095
0.3580358028411865,63.5,66.14,4095
0.3689239025115967,63.5,66.14,4095
0.3797588348388672,63.5,66.14,4095
0.39092135429382324,63.5,66.14,4095
0.40178775787353516,63.5,66.14,4095
0.4126250743865967,63.5,66.14,4095
0.42375779151916504,63.5,66.14,4095
0.4346938133239746,63.5,66.14,4095
0.44545459747314453,63.5,66.14,4095
0.45645999908447266,63.5,66.14,4095
0.46735620498657227,63.5,66.14,4095
0.47830867767333984,63.5,66.14,4095
0.48955702781677246,63.5,66.14,4095
0.500497579574585,63.5,66.14,4095
0.5113811492919922,63.5,66.14,4095
0.5226376056671143,63.5,66.14,4095
0.5334756374359131,63.5,66.14,4095
0.5444300174713135,63.5,66.14,4095
0.5555593967437744,63.5,66.14,4095
0.5664772987365723,63.5,66.14,4095
0.577319860458374,63.5,66.14,4095
0.5884175300598145,63.5,66.14,4095
0.5995218753814697,63.5,66.14,4095
0.610405683517456,63.5,66.14,4095
0.6215596199035645,63.5,66.14,4095
0.6329402923583984,63.5,66.14,4095
0.6438252925872803,63.5,66.14,4095
0.6549594402313232,63.5,66.14,4095
0.6659157276153564,63.5,66.14,4095
0.6767721176147461,95.7,66.14,4095
0.6879024505615234,95.7,66.14,4095
0.6987731456756592,95.7,66.14,4095
0.7096235752105713,95.7,66.14,4095
0.7206742763519287,95.7,66.14,4095
0.7317495346069336,95.7,66.14,4095
0.7425544261932373,95.7,66.14,4095
0.75360107421875,95.7,66.14,4095
0.764441967010498,95.7,66.14,4095
0.7752394676208496,95.7,66.14,4095
0.8010406494140625,95.7,66.14,4095
0.8118658065795898,95.7,66.14,4095
0.8231306076049805,95.7,66.14,4095
0.8340494632720947,95.7,66.14,4095
0.844914436340332,95.7,66.14,4095
0.8560521602630615,95.7,66.14,4095
0.8670949935913086,95.7,66.14,4095
0.8780677318572998,95.7,66.14,4095
0.8892354965209961,95.7,66.14,4095
0.9002089500427246,95.7,66.14,4095
0.9111640453338623,95.7,66.14,4095
0.922337532043457,95.7,66.14,4095
0.9333195686340332,93.8,66.14,4095
0.9443297386169434,93.8,66.14,4095
0.955411434173584,93.8,66.14,4095
0.9664461612701416,93.8,66.14,4095
0.9775741100311279,93.8,66.14,4095
0.988659143447876,93.8,66.14,4095
0.9998049736022949,63.5,66.14,4095
1.0108351707458496,63.5,66.14,4095
1.0218422412872314,63.5,66.14,4095
